"SPP","TIMES","...3","...4"
"ABLA",NA,NA,"ABLA"
"ACSA",9,NA,"ACSA"
"AMBR",NA,NA,"AMBR"
"ANGE",NA,NA,"ANGE"
"BELU",NA,NA,"BELU"
"BOER",NA,NA,"BOER"
"BOGR",NA,NA,"BOGR"
"CEGR",NA,NA,"CEGR"
"CONU",NA,NA,"CONU"
"DRGL",10,NA,"DRGL"
"FAGR",NA,NA,"FAGR"
"KOMY",7,NA,"KOMY"
"LATR",NA,NA,"LATR"
"LITU",NA,NA,"LITU"
"PIEL",NA,NA,"PIEL"
"PIRE",10,NA,"PIRE"
"PIST",NA,NA,"PIST"
"POTR",NA,NA,"POTR"
"PSME",NA,NA,"PSME"
"QUPR",10,NA,"PSME"
"RHMA",NA,NA,"QUPR"
"ROPS",NA,NA,"RHMA"
"SPAL",NA,NA,"ROPS"
"THPL",10,NA,"SPAL"
"TRAE",10,NA,"THPL"
